middleweight|False|5|0a1942069c9ad6b6|0d8011111be000b2
middleweight|False|3|64facb6cc564262d|12585614e0ed2626
welterweight|False|3|01afe0916a40c7c5|a53d30163304aa6e
light heavyweight|False|3|d156513a19acf856|2f181c0467965b98
middleweight|False|3|147e70aa6cc48cfc|f626118b6da0e020
featherweight|False|3|902ec2cc48c8ae8a|b93c06d09d1c4ac0
bantamweight|False|3|46e0d677f91bacc0|5fa2974cbd18e05c
featherweight|False|3|2c9d00968f818270|5bf31a46becc1204
middleweight|False|3|c68c68efaa5ca6ef|8e9eb3fc86db0f7d
bantamweight|False|3|4c2d90e335e6df19|a78a87d8c2bbb1cb
light heavyweight|False|3|41e83a89929d1327|687c15b2eddfaa63
welterweight|False|3|5f3805dda9661cba|8e382b585a92affe
flyweight|False|3|dee294e9717012c2|2526be54e6a0e62a
middleweight|True|5|1338e2c7480bdf9e|e1147d3d2dabe1ce
heavyweight|False|3|d3df1add9d9a7efb|c62fbc117d57b943
middleweight|False|3|13a0275fa13c4d26|b1a3e0aca758b322
bantamweight|False|3|60425d07ef4b91a7|2804ce8dadab5770
lightweight|False|3|887961364be5ceb3|b7b84ccd221be298
heavyweight|False|3|3738e68d2261e60f|2b68d9f125d07b42
flyweight|False|3|4498b382c65a7faa|04835018f90b118c
flyweight|False|3|ab2b4ff41d6ebe0f|67c1d46f4ed16f9e
light heavyweight|False|3|5da33b8fbfa5ee95|950d0ef5c17157c5
bantamweight|False|3|c0386644627a7ee5|e7e01e266a9d4342
lightweight|False|3|262a7d06203657e6|b6452706b373eea1
light heavyweight|False|3|9014c02eff8b3d62|78a68f1dade6aaf7
middleweight|False|3|009c4420727149ea|d4270315cbcf2569
bantamweight|False|3|3a314d9fa7c6825d|2f6a993c7f547c13
welterweight|False|3|d66a46de8d705353|9edf2c9082cc2cd8